Date,Hour,Time,Predicted Energy
2025-04-09,0,12:00 AM,3.45
2025-04-09,1,1:00 AM,3.12
2025-04-09,2,2:00 AM,2.98
2025-04-09,3,3:00 AM,2.75
2025-04-09,4,4:00 AM,2.63
2025-04-09,5,5:00 AM,3.01
2025-04-09,6,6:00 AM,3.56
2025-04-09,7,7:00 AM,3.95
2025-04-09,8,8:00 AM,4.12
2025-04-09,9,9:00 AM,4.30
2025-04-09,10,10:00 AM,4.18
2025-04-09,11,11:00 AM,4.01
2025-04-09,12,12:00 PM,3.85
2025-04-09,13,1:00 PM,3.78
2025-04-09,14,2:00 PM,3.60
2025-04-09,15,3:00 PM,3.40
2025-04-09,16,4:00 PM,3.25
2025-04-09,17,5:00 PM,3.10
2025-04-09,18,6:00 PM,2.95
2025-04-09,19,7:00 PM,2.80
2025-04-09,20,8:00 PM,2.70
2025-04-09,21,9:00 PM,2.55
2025-04-09,22,10:00 PM,2.40
2025-04-09,23,11:00 PM,2.25
